Model,MSE,depth
RandomForestRegressor,1.3522697663612986,2
RandomForestRegressor,1.1659172646341762,5
RandomForestRegressor,1.0633638386751767,9
RandomForestRegressor,1.0529235033137707,10
RandomForestRegressor,1.042958627026918,11
RandomForestRegressor,1.0366094525877738,12
RandomForestRegressor,1.0311526552116388,13
RandomForestRegressor,1.0284103665687945,14
RandomForestRegressor,1.0278204257432462,15
RandomForestRegressor,1.02873138212344,16
RandomForestRegressor,1.0306167405620004,17
RandomForestRegressor,1.0458419704114525,21
RandomForestRegressor,1.0731605973152927,25
RandomForestRegressor,1.0850765271400011,27
RandomForestRegressor,1.0991107134082574,29
RandomForestRegressor,1.115112704213369,32
RandomForestRegressor,1.150676891016338,50
RandomForestRegressor,1.1509358338963709,72
RandomForestRegressor,1.1509358338963709,100
RandomForestRegressor,1.1509358338963709,150
RandomForestRegressor,1.1509358338963709,250
RandomForestRegressor,1.1509358338963709,None
